Date,3M
01/02/2024,3.779136
01/03/2024,3.818157
01/04/2024,3.820595
01/05/2024,3.863635
01/08/2024,3.854916
01/09/2024,3.855125
01/10/2024,3.894609
01/11/2024,3.840733
01/12/2024,3.83484
01/15/2024,3.835131
01/16/2024,3.847257
01/17/2024,3.904456
01/18/2024,3.874076
01/19/2024,3.855822
01/22/2024,3.913624
01/23/2024,3.901108
01/24/2024,3.894753
01/25/2024,3.834952
01/26/2024,3.874276
01/29/2024,3.871947
01/30/2024,3.838882
01/31/2024,3.810056
02/01/2024,3.812544
02/02/2024,3.865367
02/05/2024,3.872199
02/06/2024,3.848765
02/07/2024,3.850716
02/08/2024,3.845065
02/09/2024,3.833188
02/12/2024,3.8696
02/13/2024,3.857306
02/14/2024,3.859555
02/15/2024,3.846075
02/16/2024,3.850381
02/19/2024,3.852122
02/20/2024,3.833067
02/21/2024,3.841408
02/22/2024,3.853353
02/23/2024,3.846996
02/26/2024,3.852891
02/27/2024,3.837787
02/28/2024,3.830841
02/29/2024,3.824373
03/01/2024,3.829463
03/04/2024,3.821529
03/05/2024,3.795325
03/06/2024,3.800461
03/07/2024,3.804594
03/08/2024,3.786973
03/11/2024,3.794213
03/12/2024,3.820614
03/13/2024,3.825485
03/14/2024,3.827183
03/15/2024,3.84356
03/18/2024,3.835531
03/19/2024,3.831293
03/20/2024,3.836142
03/21/2024,3.839887
03/22/2024,3.77662
03/25/2024,3.764804
03/26/2024,3.7574
03/27/2024,3.758993
03/28/2024,3.776828
04/02/2024,3.757643
04/03/2024,3.782619
04/04/2024,3.788639
04/05/2024,3.78546
04/08/2024,3.756782
04/09/2024,3.789894
04/10/2024,3.79302
04/11/2024,3.782689
04/12/2024,3.758774
04/15/2024,3.707365
04/16/2024,3.720433
04/17/2024,3.732083
04/18/2024,3.722924
04/19/2024,3.725191
04/22/2024,3.717386
04/23/2024,3.698537
04/24/2024,3.70468
04/25/2024,3.726129
04/26/2024,3.710983
04/29/2024,3.699398
04/30/2024,3.741419
05/02/2024,3.726565
05/03/2024,3.673673
05/06/2024,3.695057
05/07/2024,3.686451
05/08/2024,3.680463
05/09/2024,3.680471
05/10/2024,3.694446
05/13/2024,3.687552
05/14/2024,3.681624
05/15/2024,3.684723
05/16/2024,3.669421
05/17/2024,3.68594
05/20/2024,3.657822
05/21/2024,3.653444
05/22/2024,3.685371
05/23/2024,3.641885
05/24/2024,3.68299
05/27/2024,3.641023
05/28/2024,3.623416
05/29/2024,3.66322
05/30/2024,3.65071
05/31/2024,3.675204
06/03/2024,3.639495
06/04/2024,3.598705
06/05/2024,3.637222
06/06/2024,3.603593
06/07/2024,3.630825
06/10/2024,3.623664
06/11/24,3.579342
06/12/2024,3.583541
06/13/2024,3.542757
06/14/2024,3.475128
06/17/2024,3.462954
06/18/2024,3.471958
06/19/2024,3.491109
06/20/2024,3.446985
06/21/2024,3.417093
06/24/2024,3.453194
06/25/2024,3.452082
06/26/2024,3.437678
06/27/2024,3.426551
06/28/2024,3.414145
07/01/2024,3.436223
07/02/2024,3.449049
07/03/2024,3.476907
07/04/2024,3.45323
07/05/2024,3.437456
07/08/2024,3.424185
07/09/2024,3.436942
07/10/2024,3.455306
07/11/2024,3.418454
07/12/2024,3.458408
07/15/2024,3.396289
07/16/2024,3.409331
07/17/2024,3.423415
07/18/2024,3.42044
07/19/2024,3.416664
07/22/2024,3.409939
07/23/2024,3.433476
07/24/2024,3.417467
07/25/2024,3.41986
07/26/2024,3.386797
07/29/2024,3.336984
07/30/2024,3.309514
07/31/2024,3.289276
08/01/2024,3.302889
08/02/2024,3.220682
08/05/2024,3.227584
08/06/2024,3.318155
08/07/2024,3.337367
08/08/2024,3.32611
08/09/2024,3.335766
08/12/2024,3.34467
08/13/2024,3.327183
08/14/2024,3.338489
08/15/2024,3.33161
08/16/2024,3.315735
08/19/2024,3.321692
08/20/2024,3.316913
08/21/2024,3.309059
08/22/2024,3.283797
08/23/2024,3.279228
08/26/2024,3.288473
08/27/2024,3.288506
08/28/2024,3.271518
08/29/2024,3.264519
08/30/2024,3.259186
09/02/2024,3.266193
09/03/2024,3.290817
09/04/2024,3.303698
09/05/2024,3.303442
09/06/2024,3.26927
09/09/2024,3.298931
09/10/2024,3.306586
09/11/2024,3.350328
09/12/2024,3.3155
09/13/2024,3.330156
09/16/2024,3.308052
09/17/2024,3.301896
09/18/2024,3.287845
09/19/2024,3.256936
09/20/2024,3.268625
09/23/2024,3.247743
09/24/2024,3.224403
09/25/2024,3.205636
09/26/2024,3.175199
09/27/2024,3.170493
09/30/2024,3.116448
10/01/2024,3.098611
10/02/2024,3.104236
10/03/2024,3.131637
10/04/2024,3.091478
10/07/2024,3.040526
10/08/2024,3.045145
10/09/2024,3.041585
10/10/2024,3.035618
10/11/2024,3.031604
10/14/2024,3.018148
10/15/2024,3.056577
10/16/2024,3.048799
10/17/2024,3.030323
10/18/2024,3.007698
10/21/2024,2.961741
10/22/2024,2.902271
10/23/2024,2.895238
10/24/2024,2.893879
10/25/2024,2.901503
10/28/2024,2.883502
10/29/2024,2.840168
10/30/2024,2.847934
10/31/2024,2.884813
