Date,Rate
1-Jan-24,0.9053
2-Jan-24,0.9139
3-Jan-24,0.9155
4-Jan-24,0.9135
5-Jan-24,0.9141
6-Jan-24,0.913766667
7-Jan-24,0.913433333
8-Jan-24,0.9131
9-Jan-24,0.9147
10-Jan-24,0.9112
11-Jan-24,0.9115
12-Jan-24,0.9132
13-Jan-24,0.913133333
14-Jan-24,0.913066667
15-Jan-24,0.913
16-Jan-24,0.9192
17-Jan-24,0.9188
18-Jan-24,0.9194
19-Jan-24,0.9178
20-Jan-24,0.9181
21-Jan-24,0.9184
22-Jan-24,0.9187
23-Jan-24,0.9213
24-Jan-24,0.9186
25-Jan-24,0.9219
26-Jan-24,0.9213
27-Jan-24,0.9219
28-Jan-24,0.9225
29-Jan-24,0.9231
30-Jan-24,0.9221
31-Jan-24,0.9243
1-Feb-24,0.9198
2-Feb-24,0.927
3-Feb-24,0.928266667
4-Feb-24,0.929533333
5-Feb-24,0.9308
6-Feb-24,0.9298
7-Feb-24,0.9282
8-Feb-24,0.9278
9-Feb-24,0.9273
10-Feb-24,0.927633333
11-Feb-24,0.927966667
12-Feb-24,0.9283
13-Feb-24,0.9339
14-Feb-24,0.9322
15-Feb-24,0.9282
16-Feb-24,0.9279
17-Feb-24,0.927766667
18-Feb-24,0.927633333
19-Feb-24,0.9275
20-Feb-24,0.9252
21-Feb-24,0.9243
22-Feb-24,0.9238
23-Feb-24,0.924
24-Feb-24,0.923133333
25-Feb-24,0.922266667
26-Feb-24,0.9214
27-Feb-24,0.922
28-Feb-24,0.9226
29-Feb-24,0.9254
1-Mar-24,0.9225
2-Mar-24,0.922066667
3-Mar-24,0.921633333
4-Mar-24,0.9212
5-Mar-24,0.9209
6-Mar-24,0.9176
7-Mar-24,0.9133
8-Mar-24,0.9141
9-Mar-24,0.914466667
10-Mar-24,0.914833333
11-Mar-24,0.9152
12-Mar-24,0.915
13-Mar-24,0.9133
14-Mar-24,0.9189
15-Mar-24,0.9184
16-Mar-24,0.918833333
17-Mar-24,0.919266667
18-Mar-24,0.9197
19-Mar-24,0.9203
20-Mar-24,0.9156
21-Mar-24,0.9207
22-Mar-24,0.9252
23-Mar-24,0.924333333
24-Mar-24,0.923466667
25-Mar-24,0.9226
26-Mar-24,0.9233
27-Mar-24,0.9236
28-Mar-24,0.927
29-Mar-24,0.9264
30-Mar-24,0.9258
31-Mar-24,0.9252
